Disorder,Intermediate,Symptom,Chapter
Obsessive-Compulsive Disorder And Related Disorders Due To Another Medical Condition,Obsessive-Compulsive Disorder And Related Disorders Due To Another Medical Condition,Appearance Concerns,Obsessive-Compulsive Disorders
Obsessive-Compulsive Disorder And Related Disorders Due To Another Medical Condition,Obsessive-Compulsive Disorder And Related Disorders Due To Another Medical Condition,Accumulation Of Assets,Obsessive-Compulsive Disorders
Obsessive-Compulsive Disorder And Related Disorders Due To Another Medical Condition,Obsessive-Compulsive Disorder And Related Disorders Due To Another Medical Condition,Skin Excoriation,Obsessive-Compulsive Disorders
Obsessive-Compulsive Disorder And Related Disorders Due To Another Medical Condition,Obsessive-Compulsive Disorder And Related Disorders Due To Another Medical Condition,Hair Pulling/Body Hair Pulling,Obsessive-Compulsive Disorders
Obsessive-Compulsive Disorder And Related Disorders Due To Another Medical Condition,Obsessive-Compulsive Disorder And Related Disorders Due To Another Medical Condition,Repetitive Behaviors,Obsessive-Compulsive Disorders
Post Traumatic Stress Disorder,Post Traumatic Stress Disorder,Trauma Exposure,Stress Disorders
Post Traumatic Stress Disorder,Post Traumatic Stress Disorder,Intrusive Symptoms,Stress Disorders
Post Traumatic Stress Disorder,Post Traumatic Stress Disorder,Avoidance Symptoms,Stress Disorders
Post Traumatic Stress Disorder,Post Traumatic Stress Disorder,Negative Alterations In Cognition And Mood,Stress Disorders
Post Traumatic Stress Disorder,Post Traumatic Stress Disorder,Alterations In Arousal And Reactivity,Stress Disorders
Post Traumatic Stress Disorder,Trauma Exposure,Direct Exposure,Stress Disorders
Post Traumatic Stress Disorder,Trauma Exposure,Witnessing In Person Events That Have Happened To Someone Else,Stress Disorders
Post Traumatic Stress Disorder,Trauma Exposure,Becoming Aware That The Events Have Happened To Family Members Or Close Friends,Stress Disorders
Post Traumatic Stress Disorder,Trauma Exposure,Repeated Or Extreme Exposure To Aversive Details Of The Event,Stress Disorders
Post Traumatic Stress Disorder,Intrusive Symptoms,Involuntary Memories,Stress Disorders
Post Traumatic Stress Disorder,Intrusive Symptoms,Intrusive Memories,Stress Disorders
Post Traumatic Stress Disorder,Intrusive Symptoms,Recurring Memories,Stress Disorders
Post Traumatic Stress Disorder,Intrusive Symptoms,Nightmares,Stress Disorders
Post Traumatic Stress Disorder,Intrusive Symptoms,Flashbacks,Stress Disorders
Post Traumatic Stress Disorder,Intrusive Symptoms,Psychological Distress,Stress Disorders
Post Traumatic Stress Disorder,Intrusive Symptoms,Physiological Reactions,Stress Disorders
Post Traumatic Stress Disorder,Avoidance Symptoms,Avoidance Of Thoughts,Stress Disorders
Post Traumatic Stress Disorder,Avoidance Symptoms,Avoidance Of Memories,Stress Disorders
Post Traumatic Stress Disorder,Avoidance Symptoms,Avoidance Of Emotions,Stress Disorders
Post Traumatic Stress Disorder,Avoidance Symptoms,Avoidance Of Situations,Stress Disorders
Post Traumatic Stress Disorder,Negative Alterations In Cognition And Mood,Amnesia,Stress Disorders
Post Traumatic Stress Disorder,Negative Alterations In Cognition And Mood,Negative Beliefs About Yourself,Stress Disorders
Post Traumatic Stress Disorder,Negative Alterations In Cognition And Mood,Negative Beliefs About Others,Stress Disorders
Post Traumatic Stress Disorder,Negative Alterations In Cognition And Mood,Negative Beliefs About The World,Stress Disorders
Post Traumatic Stress Disorder,Negative Alterations In Cognition And Mood,Guilt,Stress Disorders
Post Traumatic Stress Disorder,Negative Alterations In Cognition And Mood,Negative Emotional State,Stress Disorders
Post Traumatic Stress Disorder,Negative Alterations In Cognition And Mood,Loss Of Interest,Stress Disorders
Post Traumatic Stress Disorder,Negative Alterations In Cognition And Mood,Detachment,Stress Disorders
Post Traumatic Stress Disorder,Negative Alterations In Cognition And Mood,Inability To Experience Positive Emotions,Stress Disorders
Post Traumatic Stress Disorder,Alterations In Arousal And Reactivity,Anger,Stress Disorders
Post Traumatic Stress Disorder,Alterations In Arousal And Reactivity,Irritable Behavior,Stress Disorders
Post Traumatic Stress Disorder,Alterations In Arousal And Reactivity,Reckless Behavior,Stress Disorders
Post Traumatic Stress Disorder,Alterations In Arousal And Reactivity,Agressive Behavior,Stress Disorders
Post Traumatic Stress Disorder,Alterations In Arousal And Reactivity,Audodestructive Behavior,Stress Disorders
Post Traumatic Stress Disorder,Alterations In Arousal And Reactivity,Hypervigilance,Stress Disorders
Post Traumatic Stress Disorder,Alterations In Arousal And Reactivity,Exaggerated Startle Response,Stress Disorders
Post Traumatic Stress Disorder,Alterations In Arousal And Reactivity,Concentration Difficulties,Stress Disorders
Post Traumatic Stress Disorder,Alterations In Arousal And Reactivity,Sleep Changes,Stress Disorders
Acute Stress Disorder,Acute Stress Disorder,Trauma Exposure,Stress Disorders
Acute Stress Disorder,Acute Stress Disorder,Intrusive Symptoms,Stress Disorders
Acute Stress Disorder,Acute Stress Disorder,Avoidance Symptoms,Stress Disorders
Acute Stress Disorder,Acute Stress Disorder,Negative Alterations In Cognition And Mood,Stress Disorders
Acute Stress Disorder,Acute Stress Disorder,Alterations In Arousal And Reactivity,Stress Disorders
Acute Stress Disorder,Trauma Exposure,Direct Exposure,Stress Disorders
Acute Stress Disorder,Trauma Exposure,Witnessing In Person Events That Have Happened To Someone Else,Stress Disorders
Acute Stress Disorder,Trauma Exposure,Becoming Aware That The Events Have Happened To Family Members Or Close Friends,Stress Disorders
Acute Stress Disorder,Trauma Exposure,Repeated Or Extreme Exposure To Aversive Details Of The Event,Stress Disorders
Acute Stress Disorder,Intrusive Symptoms,Involuntary Memories,Stress Disorders
Acute Stress Disorder,Intrusive Symptoms,Intrusive Memories,Stress Disorders
Acute Stress Disorder,Intrusive Symptoms,Recurring Memories,Stress Disorders
Acute Stress Disorder,Intrusive Symptoms,Nightmares,Stress Disorders
Acute Stress Disorder,Intrusive Symptoms,Flashbacks,Stress Disorders
Acute Stress Disorder,Intrusive Symptoms,Intense Discomfort In Response To Stress Factors,Stress Disorders
Acute Stress Disorder,Intrusive Symptoms,Physiological Reactions,Stress Disorders
Acute Stress Disorder,Avoidance Symptoms,Avoidance Of Thoughts,Stress Disorders
Acute Stress Disorder,Avoidance Symptoms,Avoidance Of Memories,Stress Disorders
Acute Stress Disorder,Avoidance Symptoms,Avoidance Of Emotions,Stress Disorders
Acute Stress Disorder,Avoidance Symptoms,Avoidance Of External Memories,Stress Disorders
Acute Stress Disorder,Negative Alterations In Cognition And Mood,Amnesia,Stress Disorders
Acute Stress Disorder,Negative Alterations In Cognition And Mood,Detachment,Stress Disorders
Acute Stress Disorder,Negative Alterations In Cognition And Mood,Inability To Experience Positive Emotions,Stress Disorders
Acute Stress Disorder,Alterations In Arousal And Reactivity,Anger,Stress Disorders
Acute Stress Disorder,Alterations In Arousal And Reactivity,Aggression,Stress Disorders
Acute Stress Disorder,Alterations In Arousal And Reactivity,Hypervigilance,Stress Disorders
Acute Stress Disorder,Alterations In Arousal And Reactivity,Exaggerated Startle Response,Stress Disorders
Acute Stress Disorder,Alterations In Arousal And Reactivity,Concentration Difficulties,Stress Disorders
Acute Stress Disorder,Alterations In Arousal And Reactivity,Sleep Changes,Stress Disorders
Adjustment Disorder,Adjustment Disorder,Intense Discomfort In Response To Stress Factors,Stress Disorders
Adjustment Disorder,Adjustment Disorder,Significant Deficit In Social And Occupational Areas,Stress Disorders
Dissociative Identity Disorder,Dissociative Identity Disorder,Identity Disruption,Dissociative Disorders
Dissociative Identity Disorder,Dissociative Identity Disorder,General Changes,Dissociative Disorders
Dissociative Identity Disorder,Dissociative Identity Disorder,Memory Difficulties,Dissociative Disorders
Dissociative Amnesia,Dissociative Amnesia,Inability To Recall Autobiographical Information,Dissociative Disorders
Depersonalization/Derealization Disorder,Depersonalization/Derealization Disorder,Presence Of Experiences,Dissociative Disorders
Depersonalization/Derealization Disorder,Depersonalization/Derealization Disorder,Depersonalization,Dissociative Disorders
Depersonalization/Derealization Disorder,Depersonalization/Derealization Disorder,Derealization,Dissociative Disorders
Depersonalization/Derealization Disorder,Presence Of Experiences,Presence Of Persistent Experiences,Dissociative Disorders
Depersonalization/Derealization Disorder,Presence Of Experiences,Presence Of Recurring Experiences,Dissociative Disorders
Depersonalization/Derealization Disorder,Depersonalization,Experiences Of Unreality,Dissociative Disorders
Depersonalization/Derealization Disorder,Depersonalization,Experiences Of Distancing,Dissociative Disorders
Depersonalization/Derealization Disorder,Depersonalization,Feeling Like An Outside Observer,Dissociative Disorders
Depersonalization/Derealization Disorder,Derealization,Experiences Of Unreality,Dissociative Disorders
Depersonalization/Derealization Disorder,Derealization,Experiences Of Distancing From The Surrounding Environment,Dissociative Disorders
Depersonalization/Derealization Disorder,Depersonalization/Derealization Disorder,Reality Check Intact,Dissociative Disorders
Somatic Symptom Disorder,Somatic Symptom Disorder,Excessiveness Related To Somatic Symptoms,Somatic Disorders
Somatic Symptom Disorder,Somatic Symptom Disorder,Somatic Symptoms That Generate Discomfort,Somatic Disorders
Somatic Symptom Disorder,Excessiveness Related To Somatic Symptoms,Excessive Thoughts,Somatic Disorders
Somatic Symptom Disorder,Excessiveness Related To Somatic Symptoms,Excessive Feelings,Somatic Disorders
Somatic Symptom Disorder,Excessiveness Related To Somatic Symptoms,Excessive Behaviors,Somatic Disorders
Somatic Symptom Disorder,Somatic Symptom Disorder,Thoughts About Symptoms Severity,Somatic Disorders
Somatic Symptom Disorder,Somatic Symptom Disorder,High Anxiety About Their Own Health,Somatic Disorders
Somatic Symptom Disorder,Somatic Symptom Disorder,Time-Consuming,Somatic Disorders
Sickness Anxiety Disorder,Sickness Anxiety Disorder,Health-Related Actions,Somatic Disorders
Sickness Anxiety Disorder,Sickness Anxiety Disorder,Concern About Having/Developing A Serious Illness,Somatic Disorders
Sickness Anxiety Disorder,Sickness Anxiety Disorder,Absence/Mild Intensity Of Somatic Symptoms,Somatic Disorders
Sickness Anxiety Disorder,Sickness Anxiety Disorder,High Anxiety About Their Own Health,Somatic Disorders
Sickness Anxiety Disorder,Health-Related Actions,Excessive Health-Related Behaviors,Somatic Disorders
Sickness Anxiety Disorder,Health-Related Actions,Avoidance,Somatic Disorders
Conversion Disorder (Functional Neurological Symptom Disorder),Conversion Disorder (Functional Neurological Symptom Disorder),Altered Voluntary Function,Somatic Disorders
Conversion Disorder (Functional Neurological Symptom Disorder),Altered Voluntary Function,Altered Voluntary Motor Function,Somatic Disorders
Conversion Disorder (Functional Neurological Symptom Disorder),Altered Voluntary Function,Altered Voluntary Sensorial Function,Somatic Disorders
Factitious Disorder,Factitious Disorder,Falsification,Somatic Disorders
Factitious Disorder,Factitious Disorder,Presentation To Others,Somatic Disorders
Factitious Disorder,Falsification,Induction Of Injury,Somatic Disorders
Factitious Disorder,Falsification,Induction Of Disease,Somatic Disorders
Factitious Disorder,Factitious Disorder,"Deception Behavior Is Evident, Even In The Absence Of External Gains",Somatic Disorders
Factitious Disturbance Imposed On Another (Previously Factitious Disturbance By Proxy),Factitious Disturbance Imposed On Another (Previously Factitious Disturbance By Proxy),Falsification,Somatic Disorders
Factitious Disturbance Imposed On Another (Previously Factitious Disturbance By Proxy),Factitious Disturbance Imposed On Another (Previously Factitious Disturbance By Proxy),Presentation Of Another Person To Others,Somatic Disorders
Factitious Disturbance Imposed On Another (Previously Factitious Disturbance By Proxy),Falsification,Injury Induction On Another Person,Somatic Disorders
Factitious Disturbance Imposed On Another (Previously Factitious Disturbance By Proxy),Falsification,Disease Induction On Another Person,Somatic Disorders
Factitious Disturbance Imposed On Another (Previously Factitious Disturbance By Proxy),Factitious Disturbance Imposed On Another (Previously Factitious Disturbance By Proxy),"Deception Behavior Is Evident, Even In The Absence Of External Gains",Somatic Disorders
Pica,Pica,Intake Of Substances,Eating Disorders
Pica,Intake Of Substances,Intake Of Non-Nutritive Substances,Eating Disorders
Pica,Intake Of Substances,Intake Of Non-Food Substances,Eating Disorders
Mericism (Rumination Disorder),Mericism (Rumination Disorder),Regurgitaded Food,Eating Disorders
Mericism (Rumination Disorder),Regurgitaded Food,Regurgitated Food Can Be Chewed Again,Eating Disorders
Mericism (Rumination Disorder),Regurgitaded Food,Regurgitated Food Can Be Swallowed Again,Eating Disorders
Mericism (Rumination Disorder),Regurgitaded Food,Regurgitated Food Can Be Sapt Out Again,Eating Disorders
Avoidant/Restrictive Food Intake Disorder,Avoidant/Restrictive Food Intake Disorder,Food Disturbance,Eating Disorders
Avoidant/Restrictive Food Intake Disorder,Avoidant/Restrictive Food Intake Disorder,Consequences Of Food Disturbance,Eating Disorders
Avoidant/Restrictive Food Intake Disorder,Food Disturbance,Lack Of Interest In Food,Eating Disorders
Avoidant/Restrictive Food Intake Disorder,Food Disturbance,Avoidance,Eating Disorders
Avoidant/Restrictive Food Intake Disorder,Food Disturbance,Concern About Eating Consequences,Eating Disorders
Avoidant/Restrictive Food Intake Disorder,Consequences Of Food Disturbance,Weight Loss,Eating Disorders
Avoidant/Restrictive Food Intake Disorder,Consequences Of Food Disturbance,Nutritional Deficiency,Eating Disorders
Avoidant/Restrictive Food Intake Disorder,Consequences Of Food Disturbance,Dependence On Enteral Feeding,Eating Disorders
Avoidant/Restrictive Food Intake Disorder,Consequences Of Food Disturbance,Dependence On Nutritional Supplements,Eating Disorders
Avoidant/Restrictive Food Intake Disorder,Consequences Of Food Disturbance,Interference With Psychosocial Functioning,Eating Disorders
Anorexia Nervosa,Anorexia Nervosa,Restriction Of Energy Intake Relative To Requirements,Eating Disorders
Anorexia Nervosa,Anorexia Nervosa,Distorted Perception Of The Body,Eating Disorders
Anorexia Nervosa,Restriction Of Energy Intake Relative To Requirements,Restricting Energy Consumption,Eating Disorders
Anorexia Nervosa,Restriction Of Energy Intake Relative To Requirements,Significantly Low Weight,Eating Disorders
Anorexia Nervosa,Anorexia Nervosa,Fear Of Gaining Weight,Eating Disorders
Anorexia Nervosa,Anorexia Nervosa,Behaviors That Interfere With Weight Gain,Eating Disorders
Anorexia Nervosa,Anorexia Nervosa,Lack Of Recognition Of Severity,Eating Disorders
Bulimia Nervosa,Bulimia Nervosa,Recurrent Episodes Of Binge Eating,Eating Disorders
Bulimia Nervosa,Recurrent Episodes Of Binge Eating,Eating More Food Than Usual In A Short Period Of Time,Eating Disorders
Bulimia Nervosa,Recurrent Episodes Of Binge Eating,Feeling Of Loss Of Control Over Eating,Eating Disorders
Bulimia Nervosa,Bulimia Nervosa,Weight Loss Attempts,Eating Disorders
Bulimia Nervosa,Weight Loss Attempts,Induction Of Vomiting,Eating Disorders
Bulimia Nervosa,Weight Loss Attempts,Use Of Laxatives,Eating Disorders
Bulimia Nervosa,Weight Loss Attempts,Use Of Diuretics,Eating Disorders
Bulimia Nervosa,Weight Loss Attempts,Use Of Medications,Eating Disorders
Bulimia Nervosa,Weight Loss Attempts,Fasting,Eating Disorders
Bulimia Nervosa,Weight Loss Attempts,Excessive Physical Exercise,Eating Disorders
Bulimia Nervosa,Bulimia Nervosa,Distorted Perception Of The Body,Eating Disorders
Compulsive Eating Disorder,Compulsive Eating Disorder,Recurrent Episodes Of Binge Eating,Eating Disorders
Compulsive Eating Disorder,Compulsive Eating Disorder,Episodes Of Binge Eating Associated With Some Behaviors,Eating Disorders
Compulsive Eating Disorder,Recurrent Episodes Of Binge Eating,Eating More Food Than Usual In A Short Period Of Time,Eating Disorders
Compulsive Eating Disorder,Recurrent Episodes Of Binge Eating,Feeling Of Loss Of Control Over Eating,Eating Disorders
Compulsive Eating Disorder,Episodes Of Binge Eating Associated With Some Behaviors,Rapid Intake,Eating Disorders
Compulsive Eating Disorder,Episodes Of Binge Eating Associated With Some Behaviors,Eat Until You Feel Unpleasantly Full,Eating Disorders
Compulsive Eating Disorder,Episodes Of Binge Eating Associated With Some Behaviors,Eating Large Amounts Of Food Despite Not Feeling Hungry,Eating Disorders
Compulsive Eating Disorder,Episodes Of Binge Eating Associated With Some Behaviors,Eat Alone Because They Feel Ashamed Of Their Voraciousness,Eating Disorders
Compulsive Eating Disorder,Episodes Of Binge Eating Associated With Some Behaviors,Related Feelings For Compulsive Eating,Eating Disorders
Compulsive Eating Disorder,Related Feelings For Compulsive Eating,Disgusted,Eating Disorders
Compulsive Eating Disorder,Related Feelings For Compulsive Eating,Depressed Mood,Eating Disorders
Compulsive Eating Disorder,Related Feelings For Compulsive Eating,Guilt,Eating Disorders
Compulsive Eating Disorder,Compulsive Eating Disorder,Discomfort,Eating Disorders
Compulsive Eating Disorder,Compulsive Eating Disorder,Weight Loss Attempts,Eating Disorders
Insomnia Disorder,Insomnia Disorder,Dissatisfaction With Sleep,Sleep Disorders
Insomnia Disorder,Insomnia Disorder,Sleep Changes,Sleep Disorders
Insomnia Disorder,Dissatisfaction With Sleep,Dissatisfaction With Sleep Quality,Sleep Disorders
Insomnia Disorder,Dissatisfaction With Sleep,Dissatisfaction With Sleep Quantity,Sleep Disorders
Insomnia Disorder,Sleep Changes,Difficulty Initiating Sleep,Sleep Disorders
Insomnia Disorder,Sleep Changes,Difficulty Maintaining Sleep,Sleep Disorders
Insomnia Disorder,Sleep Changes,Frequent Awakenings,Sleep Disorders
Insomnia Disorder,Sleep Changes,Difficulty Falling Back Asleep After Waking,Sleep Disorders
Insomnia Disorder,Sleep Changes,Early Awakening,Sleep Disorders
Hypersomnia Disorder,Hypersomnia Disorder,Excessive Sleepiness,Sleep Disorders
Hypersomnia Disorder,Hypersomnia Disorder,Consequences Of Excessive Sleepiness,Sleep Disorders
Hypersomnia Disorder,Consequences Of Excessive Sleepiness,Recurrent Periods Of Sleep,Sleep Disorders
Hypersomnia Disorder,Consequences Of Excessive Sleepiness,Sleep Episodes Throughout The Same Day,Sleep Disorders
Hypersomnia Disorder,Consequences Of Excessive Sleepiness,Sleep Is Not Restorative,Sleep Disorders
Hypersomnia Disorder,Consequences Of Excessive Sleepiness,Difficulty Staying Fully Awake,Sleep Disorders
Sleep-Wake Circadian Rhythm Disorders,Sleep-Wake Circadian Rhythm Disorders,Sleep Disruption,Sleep Disorders
Sleep-Wake Circadian Rhythm Disorders,Sleep Disruption,Excessive Sleepiness,Sleep Disorders
Sleep-Wake Circadian Rhythm Disorders,Sleep Disruption,Sleep Changes,Sleep Disorders
Sleep-Wake Circadian Rhythm Disorders,Sleep Changes,Insomnia,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Incomplete Awakening From Sleep,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleepwalking,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleep Terrors,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleepwalking,Getting Out Of Bed Repeatedly,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleepwalking,Ambulation,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleepwalking,Wakes Up With Great Difficulty,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleep Terrors,Abrupt Awakenings,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleep Terrors,Intense Fear,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleep Terrors,Sweating,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleep Terrors,Tachypnea,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleep Terrors,Tachycardia,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleep Terrors,Mydriasis,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),No Dream Imagery Recall,Sleep Disorders
Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Sleep Awakening Disorders Without Rapid Eye Movements (Non-Rem),Amnesia,Sleep Disorders
Nightmares Disorder,Nightmares Disorder,Prolonged Dysphoric Dreams,Sleep Disorders
Nightmares Disorder,Nightmares Disorder,Alert,Sleep Disorders
Rapid Eye Movement Sleep Behavior Disorder,Rapid Eye Movement Sleep Behavior Disorder,Repeated Episodes Of Arousal During Sleep,Sleep Disorders
Rapid Eye Movement Sleep Behavior Disorder,Repeated Episodes Of Arousal During Sleep,Awakenings Associated With Vocalizations,Sleep Disorders
Rapid Eye Movement Sleep Behavior Disorder,Repeated Episodes Of Arousal During Sleep,Awakenings Associated With Motor Behaviors,Sleep Disorders
Rapid Eye Movement Sleep Behavior Disorder,Rapid Eye Movement Sleep Behavior Disorder,Occur More Than 90 Minutes After Sleep Onset,Sleep Disorders
Rapid Eye Movement Sleep Behavior Disorder,Rapid Eye Movement Sleep Behavior Disorder,Awakening Episodes Posture,Sleep Disorders
Rapid Eye Movement Sleep Behavior Disorder,Awakening Episodes Posture,Awake,Sleep Disorders
Rapid Eye Movement Sleep Behavior Disorder,Awakening Episodes Posture,Alert,Sleep Disorders
Rapid Eye Movement Sleep Behavior Disorder,Awakening Episodes Posture,Not Confused,Sleep Disorders
Restless Legs Syndrome,Restless Legs Syndrome,Desire To Move The Legs,Sleep Disorders
Restless Legs Syndrome,Desire To Move The Legs,Relief In Moving The Legs,Sleep Disorders
Restless Legs Syndrome,Desire To Move The Legs,Movements Worse During Inactivity,Sleep Disorders
Substance/Medication Induced Sleep Disorder,Substance/Medication Induced Sleep Disorder,Sleep Changes,Sleep Disorders
Alcohol Use Disorder,Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Consumption Of Alcohol In Larger Quantities,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Desire To Decrease/Control Alcohol Consumption,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Unsuccessful Efforts To Decrease/Control Alcohol Use,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Large Amount Of Time In Obtaining/Use/Recovering From Alcohol Consumption,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Strong Desire/Drive For Alcohol,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Inability To Meet Work/School/Home Obligations,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Alcohol Use Is Continued Despite Knowing To Have A Persistent/Recurring Social/Interpersonal Problem,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Decreased Participation In Social/Occupational/Recreational Activities,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Use Of Alcohol In Dangerous Situations,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Alcohol Use Is Continued Despite Knowing To Have A Persistent/Recurring Physical/Psychological Problem,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Increased Need For Alcohol To Achieve Intoxication,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Decreased Effect With Continued Use Of The Same Amount Of Alcohol,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Abstinence From Alcohol,Substance Disorder
Alcohol Use Disorder,Problematic Pattern Of Alcohol Use,Alcohol Consumption To Relieve/Avoid Withdrawal Symptoms,Substance Disorder
Alcohol Intoxication,Alcohol Intoxication,Recent Alcohol Consumption,Substance Disorder
Alcohol Intoxication,Alcohol Intoxication,Attitudes/Behaviors,Substance Disorder
Alcohol Intoxication,Alcohol Intoxication,Alcohol Signs And Symptoms,Substance Disorder
Alcohol Intoxication,Attitudes/Behaviors,Aggression,Substance Disorder
Alcohol Intoxication,Attitudes/Behaviors,Inappropriate Sexual Behavior,Substance Disorder
Alcohol Intoxication,Attitudes/Behaviors,Mood Lability,Substance Disorder
Alcohol Intoxication,Attitudes/Behaviors,Motor Coordination Deficit,Substance Disorder
Alcohol Intoxication,Alcohol Signs And Symptoms,Slurred Speech,Substance Disorder
Alcohol Intoxication,Alcohol Signs And Symptoms,Alterations In Movement,Substance Disorder
Alcohol Intoxication,Alterations In Movement,Incoordination,Substance Disorder
Alcohol Intoxication,Alterations In Movement,Unstable Gait,Substance Disorder
Alcohol Intoxication,Alterations In Movement,Nystagmus,Substance Disorder
Alcohol Intoxication,Alcohol Signs And Symptoms,Attention/Memory Deficit,Substance Disorder
Alcohol Intoxication,Alcohol Signs And Symptoms,Numbness,Substance Disorder
Abstinence From Alcohol,Abstinence From Alcohol,Actions Towards Alcohol Use,Substance Disorder
Abstinence From Alcohol,Abstinence From Alcohol,Alcohol Use Symptoms,Substance Disorder
Abstinence From Alcohol,Actions Towards Alcohol Use,Cessation Of Heavy And Prolonged Alcohol Use,Substance Disorder
Abstinence From Alcohol,Actions Towards Alcohol Use,Reduction Of Heavy And Prolonged Alcohol Use,Substance Disorder
Abstinence From Alcohol,Alcohol Use Symptoms,Pulse Greater Than 100ppm,Substance Disorder
Abstinence From Alcohol,Alcohol Use Symptoms,Sweating,Substance Disorder
Abstinence From Alcohol,Alcohol Use Symptoms,Hand Tremor,Substance Disorder
Abstinence From Alcohol,Alcohol Use Symptoms,Sleep Changes,Substance Disorder
Abstinence From Alcohol,Sleep Changes,Insomnia,Substance Disorder
Abstinence From Alcohol,Alcohol Use Symptoms,Nausea,Substance Disorder
Abstinence From Alcohol,Alcohol Use Symptoms,Vomiting,Substance Disorder
Abstinence From Alcohol,Alcohol Use Symptoms,Visual/Tactile Hallucinations/Illusions,Substance Disorder
Abstinence From Alcohol,Alcohol Use Symptoms,Transient Auditory Hallucinations/Illusions,Substance Disorder
Abstinence From Alcohol,Alcohol Use Symptoms,Psychomotor Changes,Substance Disorder
Abstinence From Alcohol,Psychomotor Changes,Psychomotor Agitation,Substance Disorder
Abstinence From Alcohol,Alcohol Use Symptoms,Anxiety,Substance Disorder
Abstinence From Alcohol,Alcohol Use Symptoms,Convulsions,Substance Disorder
Caffeine Intoxication,Caffeine Intoxication,Recent Caffeine Consumption,Substance Disorder
Caffeine Intoxication,Caffeine Intoxication,Caffeine Use Symptoms,Substance Disorder
Caffeine Intoxication,Caffeine Use Symptoms,Disquiet,Substance Disorder
Caffeine Intoxication,Caffeine Use Symptoms,Nervousness,Substance Disorder
Caffeine Intoxication,Caffeine Use Symptoms,Excitement,Substance Disorder
Caffeine Intoxication,Caffeine Use Symptoms,Sleep Changes,Substance Disorder
Caffeine Intoxication,Sleep Changes,Insomnia,Substance Disorder
Caffeine Intoxication,Caffeine Use Symptoms,Facial Flushing,Substance Disorder
Caffeine Intoxication,Caffeine Use Symptoms,Diuresis,Substance Disorder
Caffeine Intoxication,Caffeine Use Symptoms,Gastrointestinal Disturbance,Substance Disorder
Caffeine Intoxication,Caffeine Use Symptoms,Muscle Pain,Substance Disorder
Caffeine Intoxication,Caffeine Use Symptoms,Incoherent Flow Of Thought And Discourse,Substance Disorder
Caffeine Intoxication,Caffeine Use Symptoms,Tachycardia,Substance Disorder
Caffeine Intoxication,Caffeine Use Symptoms,Cardiac Arrhytmia,Substance Disorder
Caffeine Intoxication,Caffeine Use Symptoms,Periods Of Inexhaustibility,Substance Disorder
Caffeine Intoxication,Caffeine Use Symptoms,Psychomotor Changes,Substance Disorder
Caffeine Intoxication,Psychomotor Changes,Psychomotor Agitation,Substance Disorder
Abstinence From Caffeine,Abstinence From Caffeine,Daily Caffeine Use,Substance Disorder
Abstinence From Caffeine,Abstinence From Caffeine,Actions Towards Caffeine Use,Substance Disorder
Abstinence From Caffeine,Abstinence From Caffeine,Caffeine Use Symptoms,Substance Disorder
